beta(v/c),gamma,dt_prime
0.0,1.0,1.0
6.400000000000001e-07,1.000000000000205,1.000000000000205
1.2800000000000002e-06,1.0000000000008193,1.0000000000008193
1.9200000000000003e-06,1.0000000000018432,1.0000000000018432
2.5600000000000005e-06,1.000000000003277,1.000000000003277
3.2000000000000003e-06,1.0000000000051201,1.0000000000051201
3.8400000000000005e-06,1.000000000007373,1.000000000007373
4.480000000000001e-06,1.0000000000100353,1.0000000000100353
5.120000000000001e-06,1.0000000000131073,1.0000000000131073
5.760000000000001e-06,1.000000000016589,1.000000000016589
6.4000000000000006e-06,1.00000000002048,1.00000000002048
7.040000000000001e-06,1.0000000000247808,1.0000000000247808
7.680000000000001e-06,1.0000000000294913,1.0000000000294913
8.320000000000002e-06,1.0000000000346112,1.0000000000346112
8.960000000000002e-06,1.0000000000401408,1.0000000000401408
9.600000000000001e-06,1.00000000004608,1.00000000004608
1.0240000000000002e-05,1.000000000052429,1.000000000052429
1.0880000000000001e-05,1.0000000000591873,1.0000000000591873
1.1520000000000002e-05,1.0000000000663554,1.0000000000663554
1.2160000000000002e-05,1.0000000000739329,1.0000000000739329
1.2800000000000001e-05,1.00000000008192,1.00000000008192
1.3440000000000002e-05,1.0000000000903169,1.0000000000903169
1.4080000000000002e-05,1.0000000000991234,1.0000000000991234
1.4720000000000003e-05,1.0000000001083393,1.0000000001083393
1.5360000000000002e-05,1.000000000117965,1.000000000117965
1.6000000000000003e-05,1.000000000128,1.000000000128
1.6640000000000003e-05,1.0000000001384448,1.0000000001384448
1.7280000000000004e-05,1.0000000001492992,1.0000000001492992
1.7920000000000005e-05,1.0000000001605633,1.0000000001605633
1.8560000000000002e-05,1.000000000172237,1.000000000172237
1.9200000000000003e-05,1.0000000001843201,1.0000000001843201
1.9840000000000003e-05,1.0000000001968128,1.0000000001968128
2.0480000000000004e-05,1.0000000002097154,1.0000000002097154
2.1120000000000004e-05,1.0000000002230274,1.0000000002230274
2.1760000000000002e-05,1.0000000002367488,1.0000000002367488
2.2400000000000002e-05,1.00000000025088,1.00000000025088
2.3040000000000003e-05,1.0000000002654208,1.0000000002654208
2.3680000000000004e-05,1.0000000002803713,1.0000000002803713
2.4320000000000004e-05,1.0000000002957312,1.0000000002957312
2.496e-05,1.0000000003115008,1.0000000003115008
2.5600000000000002e-05,1.00000000032768,1.00000000032768
2.6240000000000003e-05,1.0000000003442688,1.0000000003442688
2.6880000000000004e-05,1.0000000003612672,1.0000000003612672
2.7520000000000008e-05,1.0000000003786753,1.0000000003786753
2.8160000000000005e-05,1.0000000003964928,1.0000000003964928
2.8800000000000005e-05,1.00000000041472,1.00000000041472
2.9440000000000006e-05,1.000000000433357,1.000000000433357
3.0080000000000007e-05,1.0000000004524032,1.0000000004524032
3.0720000000000004e-05,1.0000000004718592,1.0000000004718592
3.1360000000000005e-05,1.0000000004917249,1.0000000004917249
3.2000000000000005e-05,1.000000000512,1.000000000512
3.2640000000000006e-05,1.0000000005326848,1.0000000005326848
3.328000000000001e-05,1.0000000005537792,1.0000000005537792
3.392000000000001e-05,1.0000000005752834,1.0000000005752834
3.456000000000001e-05,1.000000000597197,1.000000000597197
3.520000000000001e-05,1.00000000061952,1.00000000061952
3.584000000000001e-05,1.000000000642253,1.000000000642253
3.648e-05,1.0000000006653953,1.0000000006653953
3.7120000000000004e-05,1.0000000006889473,1.0000000006889473
3.7760000000000004e-05,1.0000000007129088,1.0000000007129088
3.8400000000000005e-05,1.00000000073728,1.00000000073728
3.9040000000000006e-05,1.0000000007620609,1.0000000007620609
3.9680000000000006e-05,1.0000000007872514,1.0000000007872514
4.032000000000001e-05,1.0000000008128513,1.0000000008128513
4.096000000000001e-05,1.000000000838861,1.000000000838861
4.160000000000001e-05,1.00000000086528,1.00000000086528
4.224000000000001e-05,1.0000000008921088,1.0000000008921088
4.288e-05,1.0000000009193473,1.0000000009193473
4.3520000000000003e-05,1.0000000009469954,1.0000000009469954
4.4160000000000004e-05,1.000000000975053,1.000000000975053
4.4800000000000005e-05,1.0000000010035202,1.0000000010035202
4.5440000000000005e-05,1.0000000010323968,1.0000000010323968
4.6080000000000006e-05,1.0000000010616832,1.0000000010616832
4.672000000000001e-05,1.0000000010913792,1.0000000010913792
4.736000000000001e-05,1.000000001121485,1.000000001121485
4.800000000000001e-05,1.000000001152,1.000000001152
4.864000000000001e-05,1.0000000011829249,1.0000000011829249
4.928000000000001e-05,1.0000000012142594,1.0000000012142594
4.992e-05,1.0000000012460033,1.0000000012460033
5.0560000000000004e-05,1.000000001278157,1.000000001278157
5.1200000000000004e-05,1.00000000131072,1.00000000131072
5.1840000000000005e-05,1.000000001343693,1.000000001343693
5.2480000000000006e-05,1.0000000013770753,1.0000000013770753
5.3120000000000006e-05,1.0000000014108672,1.0000000014108672
5.376000000000001e-05,1.000000001445069,1.000000001445069
5.440000000000001e-05,1.0000000014796802,1.0000000014796802
5.5040000000000015e-05,1.0000000015147008,1.0000000015147008
5.568000000000001e-05,1.0000000015501314,1.0000000015501314
5.632000000000001e-05,1.0000000015859714,1.0000000015859714
5.696000000000001e-05,1.0000000016222208,1.0000000016222208
5.760000000000001e-05,1.0000000016588801,1.0000000016588801
5.824000000000001e-05,1.000000001695949,1.000000001695949
5.888000000000001e-05,1.0000000017334272,1.0000000017334272
