beta(v/c),gamma,dt_prime
0.0,1.0,1.0
1.2800000000000002e-06,1.0000000000008193,1.0000000000008193
2.5600000000000005e-06,1.000000000003277,1.000000000003277
3.8400000000000005e-06,1.000000000007373,1.000000000007373
5.120000000000001e-06,1.0000000000131073,1.0000000000131073
6.4000000000000006e-06,1.00000000002048,1.00000000002048
7.680000000000001e-06,1.0000000000294913,1.0000000000294913
8.960000000000002e-06,1.0000000000401408,1.0000000000401408
1.0240000000000002e-05,1.000000000052429,1.000000000052429
1.1520000000000002e-05,1.0000000000663554,1.0000000000663554
1.2800000000000001e-05,1.00000000008192,1.00000000008192
1.4080000000000002e-05,1.0000000000991234,1.0000000000991234
1.5360000000000002e-05,1.000000000117965,1.000000000117965
1.6640000000000003e-05,1.0000000001384448,1.0000000001384448
1.7920000000000005e-05,1.0000000001605633,1.0000000001605633
1.9200000000000003e-05,1.0000000001843201,1.0000000001843201
2.0480000000000004e-05,1.0000000002097154,1.0000000002097154
2.1760000000000002e-05,1.0000000002367488,1.0000000002367488
2.3040000000000003e-05,1.0000000002654208,1.0000000002654208
2.4320000000000004e-05,1.0000000002957312,1.0000000002957312
2.5600000000000002e-05,1.00000000032768,1.00000000032768
2.6880000000000004e-05,1.0000000003612672,1.0000000003612672
2.8160000000000005e-05,1.0000000003964928,1.0000000003964928
2.9440000000000006e-05,1.000000000433357,1.000000000433357
3.0720000000000004e-05,1.0000000004718592,1.0000000004718592
3.2000000000000005e-05,1.000000000512,1.000000000512
3.328000000000001e-05,1.0000000005537792,1.0000000005537792
3.456000000000001e-05,1.000000000597197,1.000000000597197
3.584000000000001e-05,1.000000000642253,1.000000000642253
3.7120000000000004e-05,1.0000000006889473,1.0000000006889473
3.8400000000000005e-05,1.00000000073728,1.00000000073728
3.9680000000000006e-05,1.0000000007872514,1.0000000007872514
4.096000000000001e-05,1.000000000838861,1.000000000838861
4.224000000000001e-05,1.0000000008921088,1.0000000008921088
4.3520000000000003e-05,1.0000000009469954,1.0000000009469954
4.4800000000000005e-05,1.0000000010035202,1.0000000010035202
4.6080000000000006e-05,1.0000000010616832,1.0000000010616832
4.736000000000001e-05,1.000000001121485,1.000000001121485
4.864000000000001e-05,1.0000000011829249,1.0000000011829249
4.992e-05,1.0000000012460033,1.0000000012460033
5.1200000000000004e-05,1.00000000131072,1.00000000131072
5.2480000000000006e-05,1.0000000013770753,1.0000000013770753
5.376000000000001e-05,1.000000001445069,1.000000001445069
5.5040000000000015e-05,1.0000000015147008,1.0000000015147008
5.632000000000001e-05,1.0000000015859714,1.0000000015859714
5.760000000000001e-05,1.0000000016588801,1.0000000016588801
5.888000000000001e-05,1.0000000017334272,1.0000000017334272
6.0160000000000014e-05,1.000000001809613,1.000000001809613
6.144000000000001e-05,1.0000000018874369,1.0000000018874369
6.272000000000001e-05,1.0000000019668993,1.0000000019668993
6.400000000000001e-05,1.000000002048,1.000000002048
6.528000000000001e-05,1.0000000021307394,1.0000000021307394
6.656000000000001e-05,1.000000002215117,1.000000002215117
6.784000000000001e-05,1.0000000023011328,1.0000000023011328
6.912000000000002e-05,1.0000000023887874,1.0000000023887874
7.040000000000002e-05,1.0000000024780802,1.0000000024780802
7.168000000000002e-05,1.0000000025690112,1.0000000025690112
7.296e-05,1.000000002661581,1.000000002661581
7.424000000000001e-05,1.000000002755789,1.000000002755789
7.552000000000001e-05,1.0000000028516354,1.0000000028516354
7.680000000000001e-05,1.00000000294912,1.00000000294912
7.808000000000001e-05,1.0000000030482432,1.0000000030482432
7.936000000000001e-05,1.0000000031490048,1.0000000031490048
8.064000000000001e-05,1.000000003251405,1.000000003251405
8.192000000000002e-05,1.0000000033554433,1.0000000033554433
8.320000000000002e-05,1.00000000346112,1.00000000346112
8.448000000000002e-05,1.0000000035684353,1.0000000035684353
8.576e-05,1.0000000036773888,1.0000000036773888
8.704000000000001e-05,1.0000000037879808,1.0000000037879808
8.832000000000001e-05,1.0000000039002113,1.0000000039002113
8.960000000000001e-05,1.0000000040140802,1.0000000040140802
9.088000000000001e-05,1.0000000041295873,1.0000000041295873
9.216000000000001e-05,1.000000004246733,1.000000004246733
9.344000000000001e-05,1.0000000043655168,1.0000000043655168
9.472000000000001e-05,1.0000000044859392,1.0000000044859392
