Mach,v/c,gamma;;;;;
0.0,0.0,1.0;;;;;
0.002,2.286666666666667e-09,1.0;;;;;
0.004,4.573333333333334e-09,1.0;;;;;
0.006,6.859999999999999e-09,1.0;;;;;
0.008,9.146666666666668e-09,1.0000000000000002;;;;;
0.01,1.1433333333333333e-08,1.0000000000000002;;;;;
0.012,1.3719999999999998e-08,1.0000000000000002;;;;;
0.014,1.600666666666667e-08,1.0000000000000002;;;;;
0.016,1.8293333333333336e-08,1.0000000000000002;;;;;
0.018,2.058e-08,1.0000000000000002;;;;;
0.02,2.2866666666666666e-08,1.0000000000000004;;;;;
0.022,2.515333333333333e-08,1.0000000000000004;;;;;
0.024,2.7439999999999996e-08,1.0000000000000004;;;;;
0.026,2.9726666666666663e-08,1.0000000000000004;;;;;
0.028,3.201333333333334e-08,1.0000000000000007;;;;;
0.03,3.4299999999999996e-08,1.0000000000000007;;;;;
0.032,3.658666666666667e-08,1.0000000000000007;;;;;
0.034,3.8873333333333336e-08,1.0000000000000009;;;;;
0.036,4.116e-08,1.0000000000000009;;;;;
0.038,4.344666666666666e-08,1.000000000000001;;;;;
0.04,4.573333333333333e-08,1.000000000000001;;;;;
0.042,4.802e-08,1.0000000000000013;;;;;
0.044,5.030666666666666e-08,1.0000000000000013;;;;;
0.046,5.2593333333333336e-08,1.0000000000000016;;;;;
0.048,5.487999999999999e-08,1.0000000000000016;;;;;
0.05,5.7166666666666676e-08,1.0000000000000018;;;;;
0.052,5.9453333333333326e-08,1.0000000000000018;;;;;
0.054,6.174e-08,1.000000000000002;;;;;
0.056,6.402666666666668e-08,1.0000000000000022;;;;;
0.058,6.631333333333334e-08,1.0000000000000022;;;;;
0.06,6.859999999999999e-08,1.0000000000000024;;;;;
0.062,7.088666666666666e-08,1.0000000000000027;;;;;
0.064,7.317333333333335e-08,1.0000000000000027;;;;;
0.066,7.546e-08,1.0000000000000029;;;;;
0.068,7.774666666666667e-08,1.000000000000003;;;;;
0.07,8.003333333333334e-08,1.0000000000000033;;;;;
0.072,8.232e-08,1.0000000000000036;;;;;
0.074,8.460666666666666e-08,1.0000000000000036;;;;;
0.076,8.689333333333333e-08,1.0000000000000038;;;;;
0.078,8.918000000000001e-08,1.000000000000004;;;;;
0.08,9.146666666666667e-08,1.0000000000000042;;;;;
0.082,9.375333333333334e-08,1.0000000000000044;;;;;
0.084,9.604e-08,1.0000000000000047;;;;;
0.086,9.832666666666666e-08,1.0000000000000049;;;;;
0.088,1.0061333333333332e-07,1.000000000000005;;;;;
0.09,1.0289999999999999e-07,1.0000000000000053;;;;;
0.092,1.0518666666666667e-07,1.0000000000000056;;;;;
0.094,1.0747333333333333e-07,1.0000000000000058;;;;;
0.096,1.0975999999999998e-07,1.0000000000000062;;;;;
0.098,1.1204666666666668e-07,1.0000000000000064;;;;;
0.1,1.1433333333333335e-07,1.0000000000000067;;;;;
0.102,1.1662e-07,1.0000000000000069;;;;;
0.104,1.1890666666666665e-07,1.000000000000007;;;;;
0.106,1.2119333333333333e-07,1.0000000000000073;;;;;
0.108,1.2348e-07,1.0000000000000078;;;;;
0.11,1.2576666666666665e-07,1.000000000000008;;;;;
0.112,1.2805333333333336e-07,1.0000000000000082;;;;;
0.114,1.3034000000000001e-07,1.0000000000000087;;;;;
0.116,1.3262666666666667e-07,1.0000000000000089;;;;;
0.118,1.3491333333333333e-07,1.000000000000009;;;;;
0.12,1.3719999999999998e-07,1.0000000000000095;;;;;
0.122,1.3948666666666667e-07,1.0000000000000098;;;;;
0.124,1.4177333333333332e-07,1.0000000000000102;;;;;
0.126,1.4406e-07,1.0000000000000104;;;;;
0.128,1.463466666666667e-07,1.0000000000000109;;;;;
0.13,1.4863333333333335e-07,1.000000000000011;;;;;
